|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
559|Jotvine.com|9500.0|Social Media|9500|closed|AUS|Sydney|1|2011.0|online platforms and marketplaces|1
560|JumpSeller|40000.0|E-Commerce|40000|operating|PRT|Porto|1|2009.0|online platforms and marketplaces|0
561|JungleCents|1500000.0|E-Commerce|1500000|operating|USA|San Francisco|1|2009.0|online platforms and marketplaces|0
562|Just Be Friends|650000.0|Social Media|650000||CAN|Kelowna|1|2013.0|online platforms and marketplaces|0
563|KIHEITAI|200000.0|Messaging|200000|operating|JPN|Tokyo|1|2010.0|online platforms and marketplaces|0
564|KYCK.com|1000000.0|B2B|2012948|operating|USA|Charlotte|4|2011.0|online platforms and marketplaces|1
565|KaChing!|1500000.0|Mobile Coupons|1500000|operating|USA|Fremont|1|2012.0|online platforms and marketplaces|0
566|Kabanchik|20000.0|Marketplaces|20000|operating|UKR|Kiev|1|2012.0|online platforms and marketplaces|0
567|Kanga|1000000.0|Crowdsourcing|1000000|operating|USA|Atlanta|1|2013.0|online platforms and marketplaces|0
568|Kasidie.com|100000.0|Curated Web|600000|operating|USA|Las Vegas|2|2008.0|online platforms and marketplaces|1
569|Kaznachey|200000.0|E-Commerce|200000|operating|UKR|Odessa|1|2012.0|online platforms and marketplaces|0
570|Keelvar|922350.0|E-Commerce|922350|operating|GBR|London|1|2013.0|online platforms and marketplaces|0
571|KeenSkim|31527.0|Social Media|31527|operating|BGR|Sofia|1|2010.0|online platforms and marketplaces|0
572|Keepstream|20000.0|Social Media|20000|acquired|USA|Austin|1|2010.0|online platforms and marketplaces|0
573|Kewen|40000.0|Social Network Media|40000|operating|CHL|Santiago|1|2013.0|online platforms and marketplaces|0
574|KeyMe|2300000.0|E-Commerce|10400000|operating|USA|New York|3|2012.0|online platforms and marketplaces|0
575|Keychain Logistics|2520000.0|Marketplaces|2520000|operating|USA|San Francisco|1|2012.0|online platforms and marketplaces|0
576|Kick Sport|378812.0|E-Commerce|378812|operating|DZA|El Eulma|1|2009.0|online platforms and marketplaces|0
