|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasPayments|hasProperty|hasSolutions
316|Smore|1700000.0|Finance|2125000|operating|USA|Palo Alto|3|2011.0|financials|0|0|0
317|Snaptrip|409268.0|Price Comparison|409268|operating|||1|2014.0|financials|0|0|0
318|Socialthing|15000.0|Finance|415000|acquired|USA|Boulder|2|2007.0|financials|0|0|0
319|SolidX Partners|3000000.0|Bitcoin|3000000|operating|USA|New York|1|2014.0|financials|0|0|0
320|Sourcery|2500000.0|Payments|2500000|operating|USA|San Francisco|2|2012.0|financials|0|0|0
321|Spacio|183927.0|Real Estate|183927|operating|USA|New York|1|2014.0|financials|0|0|0
322|Spare Change Payments|509412.0|Monetization|509412|acquired|USA|Cupertino|1|2008.0|financials|1|0|0
323|Spark CRM|150000.0|Real Estate|150000|operating|CAN|Vancouver|2|2012.0|financials|0|0|0
324|SpectroCoin|110000.0|Finance|110000|operating|LTU|Vilnius|1|2013.0|financials|0|0|0
325|StartersFund|99362.0|Venture Capital|99362|operating|GRC|Athens|1|2011.0|financials|0|0|0
326|Startupxplore|135969.0|Venture Capital|135969|operating|ESP|Valencia|1|2014.0|financials|0|0|0
327|StockStreams|79559.0|Finance Technology|79559|operating|||1|2013.0|financials|0|0|0
328|Stockr|1500000.0|Finance|1500000|operating|USA|Santa Monica|3|2010.0|financials|0|0|0
329|Strategy Store|170000.0|Finance|270000|operating|RUS|Moscow|2|2013.0|financials|0|0|0
330|StreetInvestor|40000.0|Finance|40000|operating|CHL|Santiago|1|2012.0|financials|0|0|0
331|StreetShares|1200000.0|Financial Services|1200000|operating|||1|2014.0|financials|0|0|0
332|Stripe|2000000.0|Credit Cards|120000000|operating|USA|San Francisco|5|2010.0|financials|0|0|0
333|Suitey|40000.0|Real Estate|40000|operating|USA|New York|2|2011.0|financials|0|0|0
334|SumZero|1000000.0|Finance|1000000|operating|USA|New York|1|2008.0|financials|0|0|0
335|Swarm|1000000.0|Bitcoin|1000000|operating|USA|Palo Alto|1|2014.0|financials|0|0|0
336|Sweet Tooth|1003851.0|P2P Money Transfer|1003851|operating|CAN|Waterloo|1|2012.0|financials|0|0|0
337|SwipeLoyalty|20000.0|Mobile Payments|20000|operating|USA|Atlanta|1|2014.0|financials|0|0|0
338|TRIRIGA|5000000.0|Real Estate|5000000|acquired|USA|Las Vegas|1|2000.0|financials|0|0|0
339|TabbedOut|500000.0|Mobile Payments|17510353|operating|USA|Austin|5|2009.0|financials|0|0|0
340|TapMyBack|66023.0|Incentives|66023|operating|PRT|Lisbon|1|2013.0|financials|0|0|0
341|TapRush|1200000.0|Accounting|1200000|operating|USA|San Francisco|1|2011.0|financials|0|0|0
342|TermScout|635000.0|Real Estate|635000|operating|USA|Louisville|1|2013.0|financials|0|0|0
343|Testive|500000.0|Finance|500000|operating|USA|Boston|2|2011.0|financials|0|0|0
344|Thinknum|1000000.0|Finance Technology|1000000|operating|USA|New York|1|2013.0|financials|0|0|0
345|Tidalwave Trader|200000.0|Stock Exchanges|200000|closed|USA|Mountain View|1|2008.0|financials|0|0|0
346|Tilt|2100000.0|Finance|37100000|operating|USA|San Francisco|3|2012.0|financials|0|0|0
347|Timeshare Broker Sales|100000.0|Real Estate|100000|operating|USA|Tampa|1|2010.0|financials|0|0|0
348|TrackIF|1000000.0|Price Comparison|5190000|operating|USA|Minnetonka|3|2013.0|financials|0|0|0
349|Tracour|335000.0|Stock Exchanges|470000|operating|USA|Cincinnati|2|2013.0|financials|0|0|0
350|TradeBlock|2800000.0|Bitcoin|5574999|operating|USA|New York|2|2013.0|financials|0|0|0
351|TradeHero|464859.0|Finance|10464859|operating|SGP|Singapore|2|2012.0|financials|0|0|0
352|TradingView|650000.0|Trading|650000|operating|USA|Chicago|1|2011.0|financials|0|0|0
353|TraktoPRO|40000.0|Finance|40000|operating|CHL|Santiago|1|2013.0|financials|0|0|0
354|Treater|2500000.0|Mobile Payments|2500000|operating|||1|2011.0|financials|0|0|0
355|Truzip|50000.0|Real Estate|50000|operating|USA|Los Angeles|1|2011.0|financials|0|0|0
356|Unpakt|3000000.0|Price Comparison|3000000|operating|USA|New York|1|2012.0|financials|0|0|0
357|Upside|100000.0|Financial Services|1200000|operating|USA|San Francisco|2|2013.0|financials|0|0|0
358|Upstart|1750000.0|Finance|7650000|operating|USA|Palo Alto|2|2012.0|financials|0|0|0
359|Vastari|148476.0|Insurance|148476|operating|GBR|London|2|2012.0|financials|0|0|0
360|Vaurum|4000000.0|Bitcoin|4000000|operating|USA|Palo Alto|1|2012.0|financials|0|0|0
361|Velocity|416139.0|Mobile Payments|416139|operating|||1|2014.0|financials|0|0|0
362|Venmo|1200000.0|Finance|1300000|acquired|USA|San Francisco|3|2009.0|financials|0|0|0
363|Versus|878640.0|Price Comparison|3678640|operating|DEU|Berlin|2|2011.0|financials|0|0|0
364|Vestor|25000.0|Real Estate|25000|operating|USA|Cleveland|1|2014.0|financials|0|0|0
365|View the Space|700000.0|Real Estate|7700000|operating|USA|New York|2|2011.0|financials|0|0|0
366|VigLink|800000.0|Monetization|27337143|operating|USA|San Francisco|5|2009.0|financials|0|0|0
367|Virtual View App|500000.0|Real Estate|500000|operating|GBR|London|1|2013.0|financials|0|0|0
368|VouchedFor|235000.0|Finance|235000|operating|GBR|London|1|2011.0|financials|0|0|0
369|Wallaby Financial|1100000.0|Credit|1100000|acquired|USA|Pasadena|1|2012.0|financials|0|0|0
370|Wallept|19299.0|Virtual Currency|19299|operating|GBR|London|1|2012.0|financials|0|0|0
371|Wealthsimple|1900000.0|Finance|1900000|operating|CAN|Toronto|1|2014.0|financials|0|0|0
372|WebCurfew|468000.0|Finance|468000|operating|USA|Chicago|2|2013.0|financials|0|0|0
373|Wesabe|700000.0|Finance|4700000|operating|USA|San Francisco|2|2005.0|financials|0|0|0
374|WikiRealty|640000.0|Real Estate|640000|operating|USA|Santa Monica|2|2012.0|financials|0|0|0
375|WoraPay|539800.0|Financial Services|539800|operating|LTU|Vilnius|1|2012.0|financials|0|0|0
376|WorldRemit|546000.0|P2P Money Transfer|47655000|operating|GBR|London|6|2009.0|financials|0|0|0
377|YCharts|1500000.0|Investment Management|8650000|operating|USA|Chicago|3|2009.0|financials|0|0|0
378|Yattos|400000.0|Finance|400000|operating|USA|San Francisco|1|2012.0|financials|0|0|0
379|YouGotListings|150000.0|Real Estate|150000|operating|USA|Fallston|1|2009.0|financials|0|0|0
380|Your Office Agent|200000.0|Commercial Real Estate|200000|operating|USA|Santa Monica|1|2009.0|financials|0|0|0
381|Your Policy Manager|234900.0|Finance|234900|operating|||1|2008.0|financials|0|0|0
382|Zank|180000.0|Finance|180000|operating|ESP|Valencia|1|2013.0|financials|0|0|0
383|Zazom|30000.0|Real Estate|55000|operating|USA|Miami|2|2013.0|financials|0|0|0
384|Zeppelin|118000.0|Finance|118000|operating|USA|San Francisco|1|2011.0|financials|0|0|0
385|ZeroVM|1538000.0|IaaS|1538000|acquired|USA|San Antonio|2|2011.0|financials|0|0|0
386|ZilloPay|25000.0|Real Estate|25000|closed|USA|Austin|1|2007.0|financials|0|0|0
387|Zingfin|15000.0|Personal Finance|15000|operating|USA|Nashville|1|2013.0|financials|0|0|0
388|Zoodak|580000.0|Finance|580000|closed|USA|San Ramon|1|2008.0|financials|0|0|0
389|Zoop|750000.0|Mobile Payments|750000|operating|USA|Wilmington|1|2012.0|financials|0|0|0
390|aBIZinaBOX|500000.0|Accounting|500000|operating|USA|Evanston|1|1998.0|financials|0|0|0
391|an,LLC|60000.0|Virtual Currency|60000|closed|||1|2014.0|financials|0|0|0
392|angelMD|750000.0|Finance|1500000|operating|USA|San Francisco|2|2013.0|financials|0|0|0
393|coUrbanize|118000.0|Real Estate|668806|operating|USA|Cambridge|2|2013.0|financials|0|0|0
394|coin4ce|40000.0|Finance|40000|operating|CHL|Santiago|1|2013.0|financials|0|0|0
395|eGood|3000000.0|Payments|3000000|operating|USA|Glendora|1|2012.0|financials|0|0|0
396|easyfolio|198441.0|Finance|1096107|operating|DEU|Munich|2|2014.0|financials|0|0|0
397|freee|500000.0|Accounting|17200000|operating|JPN|Tokyo|4|2012.0|financials|0|0|0
398|i2i Logic|41250.0|Financial Services|41250|operating|HKG|Hong Kong|1|2013.0|financials|0|0|0
399|iMoney Group|500000.0|Finance|6500000|operating|MYS|Kuala Lumpur|3|2012.0|financials|0|0|0
400|iPAYst|360188.0|Mobile Payments|9278374|operating|DEU|Munich|3|2010.0|financials|0|0|0
401|immoture.be|32347.0|Real Estate|32347|operating|BEL|Pittem|1|2012.0|financials|0|0|0
402|ipnexus|900000.0|Finance|900000|operating|||1|2012.0|financials|0|0|0
403|itBit|3250000.0|Bitcoin|3250000|operating|USA|New York|1|2012.0|financials|0|0|0
404|kites.io|75000.0|Mobile Payments|75000|operating|USA|Santa Monica|1|2013.0|financials|0|0|0
405|makeena|76455.0|Incentives|176455|operating|USA|Boulder|3|2013.0|financials|0|0|0
406|meXBT / Crypto Exchange of the Americas|150000.0|Trading|150000|operating|MEX||1|2013.0|financials|0|0|0
407|minicabit|80752.0|Price Comparison|341972|operating|||2|2010.0|financials|0|0|0
408|moneymeets|258957.0|Finance|1731783|operating|DEU|Köln|2|2012.0|financials|0|0|0
409|nCino|7542005.0|Finance|20000002|operating|USA|Wilmington|3|2012.0|financials|0|0|0
410|nScaled|1500000.0|IaaS|8500000|acquired|USA|San Francisco|2|2009.0|financials|0|0|0
411|orderbird AG|797790.0|Mobile Payments|14403910|operating|DEU|Berlin|3|2011.0|financials|0|0|0
412|payByMobile|1080450.0|Mobile Payments|1080450|operating|IRL|Dublin|1|2009.0|financials|0|0|0
413|payever|135172.0|Finance|135172||DEU|Würzburg|1|2013.0|financials|0|0|0
414|paymio|50000.0|Financial Services|50000|closed|USA|New York|1|2009.0|financials|0|0|0
415|peerTransfer|1100000.0|Payments|21200000|operating|USA|Boston|4|2009.0|financials|0|0|0
416|piALGO Technologies|35000.0|Trading|35000|operating|CAN|Vancouver|1|2013.0|financials|0|0|0
417|qunb|640000.0|Finance|1140000|operating|FRA|Paris|3|2011.0|financials|0|0|0
418|rankdesk|435413.0|Real Estate|435413|operating|GBR|London|1|2009.0|financials|0|0|0
419|tibdit|64630.0|Finance|64630|operating|GBR|Southwark|1|2013.0|financials|0|0|0
420|wavecatch|220000.0|Investment Management|520000|operating|SGP|Singapore|2|2011.0|financials|0|0|0
421|zappit|576456.0|Mobile Payments|576456|operating|GBR|London|1|2011.0|financials|0|0|0
