|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
0|42|800000.0|Enterprise Software|800000.0|operating|USA|San Francisco|2.0|2013.0|technology
1|1248|378812.0|Software|378812.0|operating|GBR|Cambridge|1.0|2013.0|technology
2|#waywire|1750000.0|News|1750000.0|acquired|USA|New York|1.0|2012.0|events, travels, leisure and entertainment
3|'Rock' Your Paper|40000.0|Publishing|40000.0|operating|EST|Tallinn|1.0|2012.0|sales, marketing and advertising
4|(In)Touch Network|1500000.0|Electronics|1500000.0|operating|GBR|London|1.0|2011.0|consumer electronics
5|1,2,3 Listo|40000.0|E-Commerce|40000.0|operating|CHL|Las Condes|1.0|2012.0|online platforms and marketplaces
6|10 Minutes With|400000.0|Education|4400000.0|operating|GBR|London|2.0|2013.0|education
7|1000 Corks|40000.0|Search|40000.0|operating|USA|Lake Oswego|1.0|2008.0|technology
8|1000 Markets|500000.0|Marketplaces|500000.0|acquired|||1.0|2009.0|online platforms and marketplaces
9|1000memories|15000.0|Curated Web|2535000.0|acquired|USA|San Francisco|2.0|2010.0|services
10|1001 Menus|522169.0||||||||
11|100Plus|750000.0|Analytics|1250000.0|acquired|USA|San Francisco|2.0|2011.0|technology
12|100health|420000.0|Health Care Information Technology|420000.0|operating|USA|Madison|1.0|2014.0|healthcare
13|10BestThings|50000.0|Curated Web|50000.0|closed|USA|Cleveland|1.0|2009.0|services
14|10sec|1600000.0|Mobile Commerce|1600000.0|operating|||2.0|2013.0|online platforms and marketplaces
15|121cast|250000.0|Mobile|270000.0|operating|AUS|Melbourne|2.0|2012.0|consumer electronics
16|121nexus|69000.0||||||||
17|1234ENTER|500000.0|Advertising|650267.0|operating|||2.0|2012.0|sales, marketing and advertising
18|13th Lab|700000.0|Mobile|700000.0|operating|SWE|Stockholm|1.0|2010.0|consumer electronics
19|140Fire|500000.0|Entertainment|500000.0|operating|USA|Santa Monica|1.0|2010.0|events, travels, leisure and entertainment
20|15Five|2200000.0|Software|3400000.0|operating|USA|San Francisco|3.0|2011.0|technology
21|15MinutesNOW|200000.0|Games|200000.0|operating|||1.0|2011.0|events, travels, leisure and entertainment
22|1DayMakeover|50000.0|E-Commerce|50000.0|closed|USA|Santa Ana|1.0|2008.0|online platforms and marketplaces
23|1EQ|2100000.0||||||||
24|1Lay|170000.0|Mobile Security|170000.0|operating|||1.0|2013.0|services
25|1Mind|500000.0|Social Media|500000.0|operating|USA|Hampton Falls|1.0|2011.0|online platforms and marketplaces
26|1SDK|156000.0||||||||
27|20lines|1236454.0||||||||
28|22seeds|250000.0|Software|250000.0|operating|ISR|Tel Aviv|1.0|2010.0|technology
29|23press|50000.0|Blogging Platforms|50000.0|operating|CAN|Toronto|1.0|2011.0|online platforms and marketplaces
30|24Fundraiser.com|400000.0|Social Fundraising|400000.0|operating|USA|Willowbrook|1.0|2007.0|financials
31|24PageBooks|50000.0|Software|50000.0|closed|USA|Rochester|1.0|2010.0|technology
32|250ok|200000.0|Software|200000.0|operating|USA|Indianapolis|1.0|2012.0|technology
33|27 Perry|118000.0|E-Commerce|118000.0|closed|USA|Boulder|1.0|2012.0|online platforms and marketplaces
34|2NGageU|58000.0|Mobile Social|58000.0|operating|USA|Williston|1.0|2011.0|online platforms and marketplaces
35|2U|2275000.0|Software|95875000.0|operating|USA|Hanover|6.0|2008.0|technology
36|2houses|106626.0|Curated Web|966728.0|operating|BEL|Bel|2.0|2011.0|services
37|2threads|100000.0|Art|300000.0|operating|AUS|Sydney|2.0|2004.0|events, travels, leisure and entertainment
38|30 Second Showcase|25000.0|Photography|25000.0|operating|USA|Clifton|1.0|2013.0|events, travels, leisure and entertainment
39|33Across|750000.0|Advertising|25654560.0|operating|USA|New York|5.0|2007.0|sales, marketing and advertising
40|360Learning|1543920.0|Corporate Training|1543920.0|operating|FRA|Paris|1.0|2010.0|services
41|365looks|73047.0||||||||
42|37coins|25000.0|Bitcoin|25000.0|operating|USA|Sunnyvale|1.0|2014.0|financials
43|3BaysOver|375000.0|Online Travel|1719583.0|operating|CHE|Geneva|2.0|2011.0|events, travels, leisure and entertainment
44|3C Plus|75000.0|Web Development|75000.0|operating|BRA|Curitiba|1.0|2013.0|technology
45|3ClickEMR Corporation|250000.0|Electronic Health Records|500000.0|closed|USA|West Roxbury|2.0|2010.0|healthcare
46|3D Biomatrix|1465000.0|Biotechnology|1465000.0|operating|USA|Ann Arbor|1.0|2010.0|technology
47|3D Control Systems|28000.0|Enterprise Software|28000.0|operating|USA|San Francisco|1.0|2013.0|technology
48|3D Industri.es|350000.0|3D|1200000.0|operating|USA|Cincinnati|2.0|2011.0|technology
49|3DiVi Company|1870000.0|Software|2670000.0|operating|RUS|Miass|2.0|2011.0|technology
50|3FLOZ|750000.0|Health and Wellness|750000.0|operating|USA|New York|1.0|2009.0|healthcare
51|3LM|1500000.0|Android|1500000.0|acquired|||1.0|2010.0|technology
52|3Play Media|50000.0|Software|1011601.0|operating|USA|Cambridge|3.0|2007.0|technology
53|3Scan|40000.0|Biotechnology|390000.0|operating|USA|San Francisco|3.0|2011.0|technology
54|3TEN8|1000000.0|Software|1000000.0|operating|USA|Santa Clara|1.0|2013.0|technology
55|3scale|800000.0|Developer APIs|5000000.0|operating|ESP|Barcelona|2.0|2007.0|technology
56|3seventy|2000000.0|Software|2000000.0|operating|USA|Austin|1.0|2008.0|technology
57|4-Tell|25000.0|E-Commerce|2234979.0|operating|USA|Stevenson|5.0|2009.0|online platforms and marketplaces
58|404 Found!|513200.0|Enterprise Software|6246800.0|operating|||2.0|1997.0|technology
59|40billion.com|1050000.0||||||||
60|42Floors|400000.0|Commercial Real Estate|17400000.0|operating|USA|San Francisco|4.0|2011.0|financials
61|4Cable TV|20900.0|Clean Technology|20900.0|operating|USA|Conway|1.0|2005.0|technology
62|4Soils|50000.0|Kids|50000.0|operating|USA|Stanford|1.0|2012.0|other consumer retail
63|4th aspect|1121081.0||||||||
64|5 Screens Media|30000.0|Business Services|80000.0|operating|||2.0|2013.0|services
65|500Friends|1400000.0|E-Commerce|12900000.0|acquired|USA|San Francisco|6.0|2010.0|online platforms and marketplaces
66|500px|525000.0|Photography|9325000.0|operating|CAN|Toronto|2.0|2009.0|events, travels, leisure and entertainment
67|5Rocks|3987693.0||||||||
68|5app|5100000.0|Web Design|5100000.0|operating|GBR|London|1.0|2011.0|technology
69|5minutes|15873.0|Social Media|15873.0|operating|GBR|London|1.0|2011.0|online platforms and marketplaces
70|5o9|50000.0|Software|50000.0|operating|USA|Boulder|1.0|2006.0|technology
71|5th Avenue Media|250000.0|Distribution|250000.0|operating|USA|New York|1.0|2012.0|services
72|60mo|300000.0||||||||
73|640 Labs|2700000.0|Software|3050000.0|operating|USA|Chicago|3.0|2013.0|technology
74|7 Billion People|3800000.0|E-Commerce|6528902.0|closed|USA|Austin|3.0|2006.0|online platforms and marketplaces
75|71lbs|450000.0||||||||
76|720°|190035.0|Predictive Analytics|190035.0|operating|FIN|Espoo|1.0|2012.0|technology
77|77 Pieces|650000.0|Curated Web|650000.0|closed|NZL|Wellington|1.0|2010.0|services
78|7Summits|600000.0|SEO|600000.0|operating|USA|Milwaukee|2.0|2009.0|sales, marketing and advertising
79|7write|269260.0||||||||
80|818 Sports & Entertainment|2000000.0|Digital Entertainment|27000000.0|operating|USA|New York|2.0|2012.0|events, travels, leisure and entertainment
81|8bit|140000.0||||||||
82|8fit - Fitness for the rest of us|200000.0|Exercise|200000.0|operating|||1.0|2014.0|healthcare
83|8packs|39473.0|Technology|79501.0|operating|SGP|Singapore|2.0|2014.0|technology
84|8tracks Radio|1500000.0|Music|2779980.0|operating|USA|San Francisco|2.0|2008.0|events, travels, leisure and entertainment
85|91Mobiles|1000000.0|Mobile|1000000.0|operating|IND|Gurgaon|1.0|2010.0|consumer electronics
86|99 Fahrenheit|1380700.0|Finance|1380700.0||ITA|Milan|1.0|2011.0|financials
87|99Presents|20000.0|E-Commerce|20000.0|operating|IND|Vadodara|1.0|2012.0|online platforms and marketplaces
88|99dresses|105651.0|Fashion|105651.0|operating|AUS|Sydney|2.0|2010.0|other consumer retail
89|99tests|10000.0|Software|210000.0|operating|IND|Bangalore|3.0|2011.0|technology
90|9GAG|2800000.0|Social Media|2800000.0|operating|HKG|Hong Kong|2.0|2008.0|online platforms and marketplaces
91|9Mile Labs|900000.0|Software|900000.0|operating|USA|Seattle|1.0|2013.0|technology
92|9SLIDES|500000.0|Enterprise Software|925000.0|operating|USA|Redmond|2.0|2010.0|technology
93|9car Technology LLC|80000.0||||||||
94|9facts|70000.0|SEO|70000.0|closed|RUS|Yekaterinburg|1.0|2011.0|sales, marketing and advertising
95|A|450000.0|Security|450000.0|operating|ISR|Rishon Letsiyon|1.0|2013.0|services
96|A Smarter City|15000.0|Software|15000.0|closed|||1.0|2011.0|technology
97|A's Child|43138.0|Twitter Applications|43138.0|operating|||1.0|2013.0|technology
98|A1 Software Group|20000.0|Business Productivity|20000.0|operating|USA|Atlanta|1.0|2012.0|services
99|AB Tasty|1412834.0|Analytics|1412834.0|operating|FRA|Paris|1.0|2011.0|technology
100|ABODO|345000.0||||||||
101|ACE|500184.0|Medical|1245092.0|operating|USA|Pittsburgh|3.0|2006.0|healthcare
102|ACE Health|104594.0|Health Care Information Technology|104594.0|operating|IRL|Dublin|1.0|2010.0|healthcare
103|ACKme Networks|1400000.0|Internet of Things|1400000.0|operating|USA|Los Gatos|1.0|2013.0|technology
104|ADIKTIVO|40000.0|Fashion|40000.0|operating|CHL|Santiago|1.0|2014.0|other consumer retail
105|ADINCON|34623.0|Publishing|34623.0|operating|||2.0|2014.0|sales, marketing and advertising
106|ADOMIC (formerly YieldMetrics)|1700000.0|Advertising|1700000.0|operating|USA|Santa Monica|1.0|2010.0|sales, marketing and advertising
107|ADR Sales & Concepts|100000.0||||||||
108|ADTZ|213300.0|Optimization|706870.0|operating|ESP|Madrid|2.0|2008.0|services
109|ADVIZE|736050.0|Finance Technology|736050.0|operating|FRA|Boulogne-billancourt|1.0|2011.0|financials
110|ADman Media|1368157.0|Video|1368157.0|operating|ESP|Barcelona|1.0|2010.0|technology
111|ADstruc|1118000.0||||||||
112|AFreeze|2573200.0|Hardware + Software|2573200.0|operating|||1.0|2005.0|technology
113|AGILE customer insight|640000.0|Banking|640000.0|operating|GBR|London|1.0|2011.0|financials
114|AGRIMAPS|40000.0|Mobile|40000.0|operating|CHL|Santiago|1.0|2006.0|consumer electronics
115|AHAlife.com|3649079.0|E-Commerce|22999079.0|operating|USA|New York|5.0|2009.0|online platforms and marketplaces
116|AI Merchant|40000.0|E-Commerce|40000.0|operating|CHL|Santiago|1.0|2010.0|online platforms and marketplaces
117|AIRVEND|1200000.0|Software|1200000.0|operating|USA|Provo|1.0|2012.0|technology
118|AJ Consulting|100000.0|Consulting|100000.0|operating|USA|New York|1.0|2010.0|services
119|AKAMON ENTERTAINMENT|1000000.0|Games|5045650.0|operating|ESP|Barcelona|3.0|2011.0|events, travels, leisure and entertainment
120|AKSEL GROUP|500000.0|E-Commerce|500000.0|operating|USA|New York|1.0|2010.0|online platforms and marketplaces
121|ALCOHOOT|1350000.0||||||||
122|ALICE App|1300000.0|Mobile|1800000.0|operating|USA|New York|2.0|2012.0|consumer electronics
123|ALKALINE WATER|100000.0|Nonprofits|960000.0|operating|USA|Scottsdale|3.0|2012.0|no-profit and government
124|ALKILU Enterprises|250000.0|Consumer Goods|250000.0|operating|USA|Los Angeles|1.0|2013.0|other consumer retail
125|ALOHA|4500000.0|Health and Wellness|4500000.0|operating|USA|New York|1.0|2012.0|healthcare
126|ALOSKO|50000.0|Education|50000.0|operating|SWE|Jönköping|1.0|2013.0|education
127|ALPHAThrottle.com|200000.0||||||||
128|AMAX Global Services|45000.0|Software|45000.0|operating|USA|Fremont|1.0|2000.0|technology
129|AMIA Systems|25736.0|Aerospace|1048105.0|operating|BEL|Brussels|2.0|2010.0|industrial
130|APE Systems|20000.0|Training|20000.0|operating|USA|Providence|1.0|2013.0|events, travels, leisure and entertainment
131|APPEK Mobile Apps|500000.0|Mobile|550000.0|operating|USA|Scranton|2.0|2009.0|consumer electronics
132|APROOFED|20000.0|Education|20000.0|operating|USA|Brunswick|1.0|2013.0|education
133|APerfectShirt.com|100000.0|E-Commerce|100000.0|operating|USA|Portland|1.0|2012.0|online platforms and marketplaces
134|AREVS|150000.0|Energy|150000.0|operating|USA|Queensbury|1.0|2012.0|industrial
135|ARKeX|7356643.0|Consulting|62791270.0|operating|GBR|Cambridge|5.0|2004.0|services
136|ARMGO,Pharma,Inc.|1000000.0|Biotechnology|1000000.0|operating|USA|Tarrytown|1.0|2004.0|technology
137|ARTsys360 Ltd.|450000.0|Physical Security|848798.0|operating|||2.0|2013.0|services
138|ARTtwo50|145000.0|Startups|145000.0|operating|USA|San Francisco|2.0|2012.0|services
139|AVST|1000000.0|Unifed Communications|6594387.0|operating|USA|Foothill Ranch|3.0|2003.0|technology
140|AVentures Capital|1000000.0|Internet|1000000.0|operating|||2.0|1994.0|technology
141|AWAK|6000000.0|Medical Devices|6000000.0|operating|SGP|Singapore|1.0|2007.0|healthcare
142|AWOO LLC.|500000.0|Fashion|500000.0|operating|||1.0|2012.0|other consumer retail
143|AYLIEN|500000.0|Semantic Web|500000.0|operating|IRL|Dublin|1.0|2011.0|technology
144|AYOXXA Biosystems|28162694.0||||||||
145|Abacus Labs|3500000.0|Software|3500000.0|operating|USA|New York|1.0|2013.0|technology
146|Abakan|2781795.0||||||||
147|Abattis Bioceuticals|20014.0|Biotechnology|400988.0|operating|CAN|Vancouver|3.0|2011.0|technology
148|AbbeyPost|775000.0||||||||
149|Abeelo|90000.0|Fashion|90000.0|operating|||1.0|2013.0|other consumer retail
150|Abeona Therapeutics|750000.0|Biotechnology|4350000.0|operating|USA|Cleveland|2.0|2013.0|technology
151|Abide Therapeutics|2250180.0|Biotechnology|2250180.0|operating|USA|Princeton|1.0|2011.0|technology
152|Ability Dynamics|1500000.0|Health Care|1500000.0|operating|USA|Tempe|1.0|2009.0|healthcare
153|Ablative Solutions|5000.0|Biotechnology|25930577.0|operating|USA|Kalamazoo|5.0|2011.0|technology
154|AboutOne|145400.0||||||||
155|AbraResto|1500000.0|Social Media Platforms|1500000.0|operating|||1.0|2012.0|online platforms and marketplaces
156|Abroad101|50000.0|Education|50000.0|operating|USA|Boston|1.0|2007.0|education
157|Absolute Commerce|200000.0|Software|200000.0|operating|USA|Providence|1.0|2012.0|technology
158|Absynth Biologics|1287963.0|Biotechnology|1287963.0|operating|GBR|Sheffield|1.0|2007.0|technology
159|Acacia|15000.0|Apps|15000.0|operating|USA|Nashville|1.0|2012.0|technology
160|Acacia Interactive|762000.0|Software|762000.0|operating|USA|Nashville|1.0|2012.0|technology
161|Academia.edu|600000.0|Social Media|17800000.0|operating|USA|San Francisco|4.0|2008.0|online platforms and marketplaces
162|Academy of Inovation|50000.0|Social Media|50000.0|operating|||1.0|2011.0|online platforms and marketplaces
163|Acamica|51568.0|Entrepreneur|131568.0|operating|ARG|Buenos Aires|2.0|2012.0|services
164|Acarix|4710960.0|Health Care|4710960.0|operating|DNK|Kongens Lyngby|1.0|2009.0|healthcare
165|AccelGolf|18000.0|Finance|457282.0|closed|USA|Cambridge|7.0|2008.0|financials
166|Accellion|1410901.0|Enterprise Software|13410901.0|operating|USA|Palo Alto|2.0|1999.0|technology
167|Acceptd|20000.0|Software|3020000.0|operating|USA|Dublin|3.0|2011.0|technology
168|Access Mobile|240000.0|Mobile|352500.0|operating|USA|Denver|2.0|2010.0|consumer electronics
169|Acclaimd|90000.0||||||||
170|Accountable|158000.0|Cloud Computing|158000.0|operating|||2.0|2013.0|technology
171|Accrue Search Concepts dba Boounce|200000.0|Vertical Search|200000.0|closed|||1.0|2010.0|technology
172|Accu-Break Pharmaceuticals|1000000.0|Biotechnology|1000000.0|operating|USA|Fort Lauderdale|1.0|2001.0|technology
173|Accuhealth Partners|760000.0|Health and Wellness|760000.0|operating|USA|Olathe|1.0|2011.0|healthcare
174|Accurence|1894000.0|Software|4277507.0|operating|USA|Westminster|2.0|2005.0|technology
175|Acera Surgical|600000.0|Health Care|600000.0|operating|USA|St Louis|1.0|2013.0|healthcare
176|AcesoBee|41250.0|Health Care|41250.0|operating|||1.0|2013.0|healthcare
177|AchaLa|30000.0|Advertising|30000.0|operating|BRA|Rio De Janeiro|1.0|2009.0|sales, marketing and advertising
178|AchieveIt Online|1500000.0|Enterprise Software|3600000.0|operating|USA|Atlanta|3.0|2010.0|technology
179|Achvr|1250000.0|Gamification|1250000.0|operating|USA|Boston|1.0|2011.0|events, travels, leisure and entertainment
180|Acorns|300000.0|Apps|8960000.0|operating|USA|Newport Beach|3.0|2012.0|technology
181|Acqua Telecom Ltd|808211.0|Networking|808211.0|operating|GBR|London|1.0|2013.0|technology
182|Acquaintable|40000.0|Curated Web|40000.0|acquired|USA|New York|1.0|2012.0|services
183|ActX|1920391.0|Biotechnology|2670394.0|operating|USA|Seattle|2.0|2012.0|technology
184|Acteavo|97009.0||||||||
185|Action Online Publishing|100000.0||||||||
186|ActionFlow|250000.0|Task Management|250000.0|operating|PRT|Lisbon|1.0|2009.0|services
187|Activate Healthcare|950000.0|Health Care|950000.0|operating|USA|Indianapolis|2.0|2009.0|healthcare
188|Activation Media|705000.0||||||||
189|ActiveEon|1054991.0|Cloud Computing|1054991.0|operating|FRA|Valbonne|1.0|2007.0|technology
190|ActiveGift|20000.0|Social Network Media|20000.0|operating|UKR|Kiev|1.0|2011.0|online platforms and marketplaces
191|ActiveSec|140000.0|Mobile|490000.0|operating|LTU|Vilnius|3.0|2006.0|consumer electronics
192|Activehours|4099999.0|Financial Services|4099999.0|operating|USA|Palo Alto|1.0|2012.0|financials
193|Actively Learn|899955.0|Education|899955.0|operating|USA|Seattle|1.0|2012.0|education
194|ActualMeds|400000.0|Health Care|550000.0|operating|USA|East Hartford|2.0|2009.0|healthcare
195|Acumen Pharmaceuticals|700000.0|Biotechnology|2200000.0|operating|USA|Livermore|2.0|1996.0|technology
196|Acunu|1317075.0|Software|10563501.0|operating|GBR|London|3.0|2009.0|technology
197|Acustream|2000000.0|Health Care|2000000.0|operating|USA|Lafayette|1.0|2007.0|healthcare
198|Ad Infuse|600000.0|Mobile|17600000.0|acquired|USA|San Francisco|3.0|2005.0|consumer electronics
199|Ad Knights|50000.0|Social Media Advertising|50000.0|closed|USA|Houston|1.0|2010.0|sales, marketing and advertising
200|Ad Venture|99234.0|Advertising|99234.0|operating|GBR|London|1.0|2013.0|sales, marketing and advertising
201|AdAdapted|1075000.0||||||||
202|AdBuddy Inc|100000.0|Advertising|100000.0||USA|Raleigh|1.0|2012.0|sales, marketing and advertising
203|AdEspresso|1800000.0||||||||
204|AdHack|81874.0|Advertising|81874.0|operating|CAN|Vancouver|1.0|2008.0|sales, marketing and advertising
205|AdMoment|850000.0||||||||
206|AdRocket|1000000.0|Advertising|1000000.0|operating|USA|San Francisco|1.0|2008.0|sales, marketing and advertising
207|AdScoot|50000.0|Advertising|50000.0|operating|USA||1.0|2009.0|sales, marketing and advertising
208|AdScore|50000.0|Advertising|100000.0|operating|RUS|Moscow|2.0|2009.0|sales, marketing and advertising
209|AdStage|2500000.0||||||||
210|AdTapsy|69522.0|iOS|69522.0|operating|||1.0|2013.0|technology
211|AdTotum|49167.0|Real Time|49167.0|operating|GBR|London|1.0|2009.0|technology
212|AdWired|121681.0|Advertising|351681.0||RUS|Moscow|2.0|2009.0|sales, marketing and advertising
213|AdYapper|2200000.0||||||||
214|Adagio Medical|2500001.0|Health Care|6637111.0|operating|USA|Laguna Hills|2.0|2011.0|healthcare
215|Adama Materials|1760445.0|Nanotechnology|7131660.0|operating|USA|Honolulu|4.0|2008.0|technology
216|Adap.tv|1000000.0|Television|48500000.0|acquired|USA|San Mateo|5.0|2006.0|consumer electronics
217|Adaptly|700000.0|Advertising|13200000.0|operating|USA|New York|4.0|2010.0|sales, marketing and advertising
218|Adarza BioSystems|250000.0|Biotechnology|7250000.0|operating|USA|St Louis|4.0|2008.0|technology
219|Adbrain|1500000.0|Mobile|9000000.0|operating|GBR|London|2.0|2012.0|consumer electronics
220|Adcade|1500000.0|Advertising|6500000.0|operating|USA|New York|2.0|2011.0|sales, marketing and advertising
221|Adcast|3500.0|Facebook Applications|3500.0|closed|||1.0|2009.0|technology
222|AddMyBest|1170000.0|E-Commerce|1170000.0|operating|USA|Woodcliff Lake|1.0|2009.0|online platforms and marketplaces
223|AddSearch|650000.0|Enterprise Search|650000.0|operating|FIN|Helsinki|1.0|2013.0|technology
224|AddShoppers|725000.0|Social Buying|725000.0|operating|USA|Charlotte|1.0|2011.0|online platforms and marketplaces
225|Addapp|1800000.0|Software|1800000.0|operating|USA|San Francisco|1.0|2014.0|technology
226|AddonTV|1000000.0|Advertising|1000000.0|operating|USA|Beverly Hills|1.0|2009.0|sales, marketing and advertising
227|Addoway|110000.0|Trusted Networks|110000.0|operating|USA|San Francisco|1.0|2010.0|technology
228|Adduplex|500000.0|Advertising|500000.0|operating|LTU|Vilnius|1.0|2011.0|sales, marketing and advertising
229|Addvocate|339000.0|Enterprise Software|2729000.0|operating|USA|San Francisco|2.0|2012.0|technology
230|Adelphic Mobile|2000000.0|Mobile|12000000.0|operating|USA|Waltham|2.0|2010.0|consumer electronics
231|AdexLink|2000000.0|Advertising|2000000.0|closed|USA|Campbell|1.0|2010.0|sales, marketing and advertising
232|Adeyoh|12000.0|Curated Web|12000.0|closed|||1.0|2009.0|services
233|Adfaces|20118.0|Outdoors|20118.0|operating|GBR|Markyate|1.0|2010.0|online platforms and marketplaces
234|Adfora, Inc.|720000.0|E-Commerce|720000.0|operating|USA|Glendale|1.0|2010.0|online platforms and marketplaces
235|AdhereTech|600000.0|Medical Devices|2350000.0|operating|USA|New York|2.0|2011.0|healthcare
236|Adhysteria|10000.0|Classifieds|10000.0|closed|IND|Mumbai|1.0|2007.0|services
237|AdiCyte|2649402.0||||||||
238|Adikteev|800000.0|Advertising Platforms|2200000.0|operating|FRA|Paris|2.0|2012.0|sales, marketing and advertising
239|Adility|100000.0|Local Based Services|100000.0|acquired|USA|San Francisco|2.0|2009.0|services
240|Adioso|355000.0||||||||
241|Adjudica|50000.0|Medical|550000.0|operating|USA|St Louis|2.0|2008.0|healthcare
242|Adku|1540000.0||||||||
243|Adly|500000.0|Social Media|7500000.0|operating|USA|Beverly Hills|3.0|2009.0|online platforms and marketplaces
244|Admazely|600000.0|E-Commerce|600000.0|closed|DNK|Copenhagen|1.0|2011.0|online platforms and marketplaces
245|Admedo Ltd|161779.0|Sales and Marketing|2540206.0|operating|GBR|London|3.0|2012.0|sales, marketing and advertising
246|Admira Cosmetics|469008.0|E-Commerce|469008.0|operating|ESP|Barcelona|1.0|2010.0|online platforms and marketplaces
247|AdmitHub|85000.0|Education|85000.0|operating|||1.0|2014.0|education
248|AdmitSee|52500.0|Social Media|402500.0|operating|||3.0|2013.0|online platforms and marketplaces
249|Admittedly|1240000.0||||||||
250|Admittor|19311.0|Databases|19311.0|operating|ISL|Reykjavík|1.0|2011.0|technology
251|AdoTube|1230000.0||||||||
252|Adocu.com|500000.0|Social Media|500000.0|operating|USA|Davis|1.0|2008.0|online platforms and marketplaces
253|Adomik|1300000.0|Advertising|1300000.0|operating|FRA|Paris|1.0|2012.0|sales, marketing and advertising
254|Adonit|195355.0||||||||
255|Adore Me|500000.0|Fashion|11500000.0|operating|USA|New York|6.0|2011.0|other consumer retail
256|Adrenaline Mobility|205000.0||||||||
257|Ads-Fi|10000.0|Brand Marketing|10000.0|operating|||1.0|2014.0|sales, marketing and advertising
258|Adskom|850000.0|Advertising|850000.0|operating|SGP|Singapore|2.0|2013.0|sales, marketing and advertising
259|Adstrix|550000.0|Advertising|550000.0|operating|USA|Derry|1.0|2011.0|sales, marketing and advertising
260|Aductions|100000.0|Advertising|100000.0|acquired|USA|San Jose|1.0|2007.0|sales, marketing and advertising
261|Advaliant|100000.0|Search|100000.0|closed|USA|New York|1.0|2013.0|technology
262|Advanced Catheter Therapies|450000.0|Biotechnology|9850000.0|operating|USA|Chattanooga|4.0|2008.0|technology
263|Advanced Circulatory|2000000.0|Hardware + Software|2807000.0|operating|USA|Rockville|2.0|1997.0|technology
264|Advanced Life Wellness Institute|167000.0|Health and Wellness|167000.0|operating|USA|Houston|1.0|2011.0|healthcare
265|Advanced Marketing & Media Group|500000.0|Advertising|500000.0|closed|USA|Stamford|1.0|2007.0|sales, marketing and advertising
266|Advanced TeleSensors|250000.0|Health Care|250000.0|operating|USA|Pasadena|1.0|2008.0|healthcare
267|Advanced Vector Analytics|135952.0|Analytics|135952.0|operating|||1.0|2012.0|technology
268|Adventoris|909150.0|Software|909150.0|operating|GBR|Huddersfield|1.0|2012.0|technology
269|Adventure Local|20000.0|Travel|20000.0|operating|||1.0|2014.0|events, travels, leisure and entertainment
270|Adventure to Fitness|1500000.0|Health and Wellness|1500000.0|operating|USA|New York|1.0|2006.0|healthcare
271|AdventureDrop|100000.0|Adventure Travel|100000.0|operating|USA|San Jose|1.0|2008.0|events, travels, leisure and entertainment
272|Advice Company|500000.0|Legal|1000000.0|operating|USA|Sausalito|2.0|1992.0|services
273|Advice Wallet|395000.0||||||||
274|Adviously Inc.|400000.0|Advertising Platforms|400000.0|operating|USA|San Francisco|1.0|2013.0|sales, marketing and advertising
275|Advisity|100000.0|Advice|100000.0|operating|CHL|Santiago|1.0|2014.0|services
276|Adwanted|74339.0|Television|269133.0|operating|FRA|Lille|2.0|2012.0|consumer electronics
277|Adype|250000.0|Marketplaces|250000.0|operating|USA|Edgewater|1.0|2011.0|online platforms and marketplaces
278|Adzerk|650000.0|Advertising Platforms|650000.0||USA|Durham|1.0|2009.0|sales, marketing and advertising
279|Adzuna|478510.0|Classifieds|2762201.0|operating|GBR|London|3.0|2010.0|services
280|Aegis Identity Software|1725000.0||||||||
281|Aentropico|415000.0||||||||
282|Aereo|4500000.0|Curated Web|97000000.0|operating|USA|New York|4.0|2012.0|services
283|Aeria Games & Entertainment|288000.0|Games|288000.0|operating|USA|Santa Clara|2.0|2006.0|events, travels, leisure and entertainment
284|Aero Glass|160000.0||||||||
285|AeroFarms|500000.0|Hospitality|500000.0|operating|USA|New York|2.0|2004.0|no-profit and government
286|Aetel.inc (Droppy)|57939.0|Curated Web|57939.0|operating|JPN|Tokyo|1.0|2011.0|services
287|Aevi Inc.|176000.0||||||||
288|Affashion|12500.0|Shopping|12500.0|operating|||1.0|2014.0|other consumer retail
289|Affinity China|1100000.0||||||||
290|Affinity Networks|200000.0|Social Media|200000.0|operating|USA|Venice|2.0|2013.0|online platforms and marketplaces
291|Affinity.is|1500000.0|Advertising|1500000.0|operating|USA|Kirkland|2.0|2012.0|sales, marketing and advertising
292|AffinityClick|184711.0|Blogging Platforms|1073288.0|operating|CAN|Gatineau|2.0|2009.0|online platforms and marketplaces
293|Afinity Life Sciences|1500000.0|Biotechnology|1500000.0|operating|CAN|Edmonton|1.0|2012.0|technology
294|Afluenta|150000.0||||||||
295|Afrimarket|810229.0||||||||
296|AfterYes|20000.0|Curated Web|20000.0|operating|USA|Queens|1.0|2013.0|services
297|AgLocal|1500000.0|Mobile|3800000.0|operating|USA|Mission|3.0|2011.0|consumer electronics
298|AgSquared|1200000.0|SaaS|1200000.0|operating|USA|Washington|1.0|2009.0|services
299|Agari|200000.0|SaaS|22700000.0|operating|USA|San Mateo|4.0|2009.0|services
300|Agency Entourage|10000.0|Public Relations|10000.0|operating|USA|Dallas|1.0|2009.0|sales, marketing and advertising
301|Agency Spotter|35000.0|Services|35000.0|operating|USA|Atlanta|1.0|2012.0|services
