|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
2481|DraftKings|1400000.0|Fantasy Sports|76400000.0|operating|USA|Boston|5.0|2011.0|events, travels, leisure and entertainment
2482|Draftstreet|452000.0|Fantasy Sports|3052000.0|acquired|USA|New York|2.0|2010.0|events, travels, leisure and entertainment
2483|Dragon Army|800000.0|Apps|800000.0|operating|USA|Atlanta|1.0|2013.0|technology
2484|Dragon Innovation|2400000.0||||||||
2485|Dragon Inside|115452.0|E-Commerce|115452.0|operating|BGR|Sofia|1.0|2012.0|online platforms and marketplaces
2486|Dragon Law|41250.0|Legal|41250.0|operating|HKG|Hong Kong|1.0|2013.0|services
2487|Dragonfly List|20000.0|Freelancers|20000.0|closed|AUS|Melbourne|1.0|2012.0|services
2488|DrawQuest|625000.0|Games|3625000.0|closed|||2.0|2010.0|events, travels, leisure and entertainment
2489|Dream Village|10000.0|Enterprises|10000.0|closed|||1.0|2008.0|industrial
2490|DreamCloset.com|100000.0|Fashion|100000.0|operating|USA|Los Angeles|1.0|2012.0|other consumer retail
2491|DreamNotes|24000.0|Social Media|24000.0|operating|ARE|Dubai|1.0|2013.0|online platforms and marketplaces
2492|Dreamitize|40000.0|Education|40000.0|operating|USA|New York|1.0|2011.0|education
2493|Dreamsoft Technologies|100000.0|Peer-to-Peer|100000.0|operating|GBR||1.0|2007.0|online platforms and marketplaces
2494|Driblet Labs, LLC|20000.0|Hardware + Software|20000.0|operating|USA|Cambridge|1.0|2013.0|technology
2495|Driftrock|1000000.0|Social Media Marketing|1000000.0|operating|GBR|London|1.0|2013.0|sales, marketing and advertising
2496|Drifty|1118000.0||||||||
2497|Drillster|428550.0|Education|428550.0|operating|NLD|Vleuten|1.0|2010.0|education
2498|Drink Up Downtown|240000.0||||||||
2499|DrinkSendo|8431.0|Coffee|8431.0|operating|GBR|Shoreditch|1.0|2014.0|food and beverage
2500|Drip In|50000.0|Personal Branding|50000.0|operating|USA|Portland|1.0|2013.0|sales, marketing and advertising
2501|Drive.SG|157000.0|Automotive|947000.0|operating|SGP|Singapore|2.0|2011.0|automotive
